regionId,provinceName,neighborhoodId,neighborhoodName,رقم الصفقة,رقم المخطط,رقم البلوك,رقم القطعة,قيمة الصفقة (﷼),سعر المتر (﷼),تاريخ الصفقة,نوع الأرض,نوع الاستخدام,المساحة الإجمالية,المصدر,sellingType,landUseGroup,propertyType,centroidX,centroidY,polygonData,geometry
2,جدة,21001214,الفيحاء,32317217,480 ج / س / المعدل,---,1,1168000.0,4376.0,2025-09-28T00:00:00,شقة,شقق,266.93,MOJ,فردي,سكني,شقة,39.226635972676945,21.50940225552087,"{""type"":""Polygon"",""coordinates"":[[[39.226924,21.509933],[39.226817,21.50885],[39.22645,21.508881],[39.226432,21.508888],[39.226414,21.508897],[39.226398,21.508907],[39.226384,21.50892],[39.226371,21.508934],[39.226361,21.50895],[39.226352,21.508967],[39.226346,21.508984],[39.226425,21.509773],[39.226439,21.509805],[39.226458,21.509835],[39.226479,21.509862],[39.226504,21.509887],[39.226532,21.50991],[39.226562,21.509929],[39.226595,21.509945],[39.226629,21.509958],[39.226924,21.509933]]]}",
2,جدة,21001214,الفيحاء,32302741,480 ج / س / المعدل,---,80,13564260.0,6000.0,2025-09-27T00:00:00,قطعة أرض,أرض سكني,2260.71,MOJ,فردي,سكني,قطعة أرض,39.23047670498239,21.50462366943559,"{""type"":""Polygon"",""coordinates"":[[[39.230747,21.504402],[39.230444,21.504304],[39.230425,21.504298],[39.230207,21.504844],[39.230527,21.504951],[39.230747,21.504402]]]}",
2,جدة,21001214,الفيحاء,32269173,480 ج / س / المعدل,---,4,481151.0,3093.0,2025-09-25T00:00:00,شقة,شقق,155.55,MOJ,فردي,سكني,شقة,39.228401914510606,21.50925591507415,"{""type"":""Polygon"",""coordinates"":[[[39.228721,21.509776],[39.228611,21.508692],[39.228221,21.508728],[39.228196,21.508732],[39.228172,21.50874],[39.22815,21.508751],[39.22813,21.508766],[39.228113,21.508785],[39.2281,21.508805],[39.228091,21.508828],[39.228086,21.508851],[39.228168,21.509665],[39.228176,21.50969],[39.228187,21.509714],[39.228202,21.509737],[39.22822,21.509757],[39.228241,21.509775],[39.228264,21.509791],[39.228289,21.509803],[39.228315,21.509812],[39.228721,21.509776]]]}",
2,جدة,21001214,الفيحاء,32278517,480 ج / س / المعدل,---,2,600000.0,3372.0,2025-09-25T00:00:00,شقة,شقق,177.95,MOJ,فردي,سكني,شقة,39.22711049214649,21.509370856044583,"{""type"":""Polygon"",""coordinates"":[[[39.227403,21.509893],[39.227298,21.508809],[39.226817,21.50885],[39.226924,21.509933],[39.227403,21.509893]]]}",
2,جدة,21001214,الفيحاء,32272939,480 ج / س / المعدل,---,2,664000.0,4929.0,2025-09-25T00:00:00,شقة,شقق,134.72,MOJ,فردي,سكني,شقة,39.22711049214649,21.509370856044583,"{""type"":""Polygon"",""coordinates"":[[[39.227403,21.509893],[39.227298,21.508809],[39.226817,21.50885],[39.226924,21.509933],[39.227403,21.509893]]]}",
2,جدة,21001214,الفيحاء,32272934,480 ج / س / المعدل,---,2,710000.0,3990.0,2025-09-25T00:00:00,شقة,شقق,177.95,MOJ,فردي,سكني,شقة,39.22711049214649,21.509370856044583,"{""type"":""Polygon"",""coordinates"":[[[39.227403,21.509893],[39.227298,21.508809],[39.226817,21.50885],[39.226924,21.509933],[39.227403,21.509893]]]}",
2,جدة,21001214,الفيحاء,32279575,480 ج / س / المعدل,---,1,490000.0,3424.0,2025-09-25T00:00:00,شقة,شقق,143.09,MOJ,فردي,سكني,شقة,39.226635972676945,21.50940225552087,"{""type"":""Polygon"",""coordinates"":[[[39.226924,21.509933],[39.226817,21.50885],[39.22645,21.508881],[39.226432,21.508888],[39.226414,21.508897],[39.226398,21.508907],[39.226384,21.50892],[39.226371,21.508934],[39.226361,21.50895],[39.226352,21.508967],[39.226346,21.508984],[39.226425,21.509773],[39.226439,21.509805],[39.226458,21.509835],[39.226479,21.509862],[39.226504,21.509887],[39.226532,21.50991],[39.226562,21.509929],[39.226595,21.509945],[39.226629,21.509958],[39.226924,21.509933]]]}",
2,جدة,21001214,الفيحاء,32244334,480 ج / س / المعدل,---,4,535618.0,2986.0,2025-09-24T00:00:00,شقة,شقق,179.38,MOJ,فردي,سكني,شقة,39.228401914510606,21.50925591507415,"{""type"":""Polygon"",""coordinates"":[[[39.228721,21.509776],[39.228611,21.508692],[39.228221,21.508728],[39.228196,21.508732],[39.228172,21.50874],[39.22815,21.508751],[39.22813,21.508766],[39.228113,21.508785],[39.2281,21.508805],[39.228091,21.508828],[39.228086,21.508851],[39.228168,21.509665],[39.228176,21.50969],[39.228187,21.509714],[39.228202,21.509737],[39.22822,21.509757],[39.228241,21.509775],[39.228264,21.509791],[39.228289,21.509803],[39.228315,21.509812],[39.228721,21.509776]]]}",
2,جدة,21001214,الفيحاء,32249361,480 ج / س / المعدل,---,3,767500.0,3600.0,2025-09-24T00:00:00,شقة,شقق,213.18,MOJ,فردي,سكني,شقة,39.22759961639547,21.509327860998933,"{""type"":""Polygon"",""coordinates"":[[[39.227897,21.509688],[39.227814,21.508888],[39.227808,21.508861],[39.227796,21.508836],[39.227778,21.508814],[39.227755,21.508796],[39.227729,21.508784],[39.227701,21.508777],[39.227671,21.508775],[39.227643,21.50878],[39.227298,21.508809],[39.227403,21.509893],[39.227768,21.509862],[39.227795,21.509849],[39.22782,21.509834],[39.227842,21.509815],[39.22786,21.509793],[39.227875,21.509769],[39.227887,21.509743],[39.227894,21.509716],[39.227897,21.509688]]]}",
2,جدة,21001214,الفيحاء,32257011,480 ج / س / المعدل,---,3,865000.0,4205.0,2025-09-24T00:00:00,شقة,شقق,205.7,MOJ,فردي,سكني,شقة,39.22759961639547,21.509327860998933,"{""type"":""Polygon"",""coordinates"":[[[39.227897,21.509688],[39.227814,21.508888],[39.227808,21.508861],[39.227796,21.508836],[39.227778,21.508814],[39.227755,21.508796],[39.227729,21.508784],[39.227701,21.508777],[39.227671,21.508775],[39.227643,21.50878],[39.227298,21.508809],[39.227403,21.509893],[39.227768,21.509862],[39.227795,21.509849],[39.22782,21.509834],[39.227842,21.509815],[39.22786,21.509793],[39.227875,21.509769],[39.227887,21.509743],[39.227894,21.509716],[39.227897,21.509688]]]}",
