URL,sku,Categories,name,description,short_description,price,special_price,qty,is_in_stock,brand,capacity,reserve_capacity,country_of_ manufacture,length_mm,width_mm,height_mm,cca,offer,warranty,image,thumbnail,small_image
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din66r-%2866ah%29-smf,Dbs_71704303,Batteries,GAZELLE GOLD BATTERY DIN66R (66AH) SMF,Description SKU: 1200060690 Brand Gazelle Gold Battery Capacity 66AH Reserve capacity 66AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY DIN66R (66AH) SMF,293.00,267.0,500,1,Gazelle Gold Battery,66AH,66AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din70-%2890ah%29-smf,Dbs_77105533,Batteries,GAZELLE GOLD BATTERY DIN70 (90AH) SMF,Description SKU: 1200061723 Brand Gazelle Gold Battery Capacity 90AH Reserve capacity 90AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY DIN70 (90AH) SMF,307.00,280.0,500,1,Gazelle Gold Battery,90AH,90AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din80r-%2880ah%29-smf,Dbs_83259768,Batteries,GAZELLE GOLD BATTERY DIN80R (80AH) SMF,Description SKU: 1200061724 Brand Gazelle Gold Battery Capacity 80AH Reserve capacity 80AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY DIN80R (80AH) SMF,350.00,319.0,500,1,Gazelle Gold Battery,80AH,80AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-m27-%28105ah%29-smf,Dbs_88533910,Batteries,GAZELLE GOLD BATTERY M27 (105AH) SMF,Description SKU: 1200061725 Brand Gazelle Gold Battery Capacity 105AH Reserve capacity 105AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY M27 (105AH) SMF,476.00,433.0,500,1,Gazelle Gold Battery,105AH,105AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-n170l-%28170ah%29-smf,Dbs_95564323,Batteries,GAZELLE GOLD BATTERY N170L (170AH) SMF,Description SKU: 1200061720 Brand Gazelle Gold Battery Capacity 170AH Reserve capacity 170AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY N170L (170AH) SMF,655.00,594.0,500,1,Gazelle Gold Battery,170AH,170AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-ns40l-%2832ah%29-smf,Dbs_101925705,Batteries,GAZELLE GOLD BATTERY NS40L (32AH) SMF,Description SKU: 1200060679 Brand Gazelle Gold Battery Capacity 32AH Reserve capacity 32AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY NS40L (32AH) SMF,185.00,165.0,500,1,Gazelle Gold Battery,32AH,32AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-nx120-7l-%2895d31l%29-%2880ah%29-smf,Dbs_108766398,Batteries,GAZELLE GOLD BATTERY NX120-7L (95D31L) (80AH) SMF,Description SKU: 1200061719 Brand Gazelle Gold Battery Capacity 80AH Reserve capacity 80AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY NX120-7L (95D31L) (80AH) SMF,357.00,326.0,500,1,Gazelle Gold Battery,80AH,80AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-nx120-7r-%2880ah%29-smf,Dbs_113988687,Batteries,GAZELLE GOLD BATTERY NX120-7R (80AH) SMF,Description SKU: 1200060686 Brand Gazelle Gold Battery Capacity 80AH Reserve capacity 80AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY NX120-7R (80AH) SMF,357.00,326.0,500,1,Gazelle Gold Battery,80AH,80AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-din80r-%2880ah%29-smf,Dbs_119578270,Batteries,GAZELLE GOLD BATTERY DIN80R (80AH) SMF,Description SKU: 1200061724 Brand Gazelle Gold Battery Capacity 80AH Reserve capacity 80AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY DIN80R (80AH) SMF,350.00,319.0,500,1,Gazelle Gold Battery,80AH,80AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
https://www.myzdegree.com/shop/battery/gazelle-gold-battery-m27-%28105ah%29-smf,Dbs_124466757,Batteries,GAZELLE GOLD BATTERY M27 (105AH) SMF,Description SKU: 1200061725 Brand Gazelle Gold Battery Capacity 105AH Reserve capacity 105AH Origin Malaysia Length (mm) - Width (mm) - Height (mm) - CCA -,GAZELLE GOLD BATTERY M27 (105AH) SMF,476.00,433.0,500,1,Gazelle Gold Battery,105AH,105AH,Malaysia,-,-,-,-,Save 11%,N/A,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png,https://www.myzdegree.com/pro-images/YSHJY3m1YvKvPX2do7NnlmPYNNFYLb9uILhdsmYb.png
